"Product ID","Product Name","Product Main image","Product Details Page Link","Product Price(Unit price)",Commission,"Promotion Link(Valid for 15 days)"
940937,"Geekcreit® ATmega328P Nano V3 Controller Board Compatible Arduino Improved Version",https://img3.banggood.com/thumb/gallery/upload/2014/08/SKU157951/SKU157951aa.jpg,https://www.banggood.com/Geekcreit®-ATmega328P-Nano-V3-Controller-Board-Compatible-Arduino-Improved-Version-reviews-p940937.html,US$2.77,$0.11,https://www.banggood.com/ATmega328P-Nano-V3-Controller-Board-Compatible-Arduino-p-940937.html?p=05041114859396201710
964163,"Geekcreit® UNO R3 ATmega328P Development Board For Arduino No Cable",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/A6/65/daf3ed0c-edba-47f2-a87f-a81bd984e655.jpg,https://www.banggood.com/Geekcreit®-UNO-R3-ATmega328P-Development-Board-For-Arduino-No-Cable-reviews-p964163.html,US$3.99,$0.16,https://www.banggood.com/UNO-R3-ATmega328P-Development-Board-For-Arduino-No-Cable-p-964163.html?p=05041114859396201710
1054670,"Geekcreit® 3 IN 1 120pcs 10cm Male To Female Female To Female Male To Male Jumper Cable Dupont Wire For Arduino",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/AF/E2/102e84f7-c044-45e4-85fc-4b13a22d04da.jpg,https://www.banggood.com/Geekcreit®-3-IN-1-120pcs-10cm-Male-To-Female-Female-To-Female-Male-To-Male-Jumper-Cable-Dupont-Wire-For-Arduino-reviews-p1054670.html,US$2.88,$0.12,https://www.banggood.com/3-IN-1-120pcs-10cm-Male-To-Female-Female-To-Female-Male-To-Male-Jumper-Cable-Dupont-Wire-For-Arduino-p-1054670.html?p=05041114859396201710
959231,"Geekcreit® ATmega328P Arduino Compatible Nano V3 Improved Version No Cable",https://img.banggood.com/thumb/gallery/2014/xiemeijuan/12/SKU189961/SKU189961a.jpg,https://www.banggood.com/Geekcreit®-ATmega328P-Arduino-Compatible-Nano-V3-Improved-Version-No-Cable-reviews-p959231.html,US$2.93,$0.12,https://www.banggood.com/ATmega328P-Arduino-Compatible-Nano-V3-Improved-Version-No-Cable-p-959231.html?p=05041114859396201710
1072083,"MAX7219 Dot Matrix Module 4-in-1 Display For Arduino",https://img1.banggood.com/thumb/gallery/oaupload/banggood/images/28/68/7bcd8386-f581-4161-9cdf-0e39128541ab.jpg,https://www.banggood.com/MAX7219-Dot-Matrix-Module-4-in-1-Display-For-Arduino-reviews-p1072083.html,US$4.76,$0.19,https://www.banggood.com/MAX7219-Dot-Matrix-Module-4-in-1-Display-For-Arduino-p-1072083.html?p=05041114859396201710
73020,"Geekcreit® MEGA 2560 R3 ATmega2560-16AU MEGA2560 Development Board With USB Cable For Arduino",https://img.banggood.com/thumb/gallery/oaupload/banggood/images/A3/F5/04c9a5ee-a01f-4032-b25d-9eccdd4cf188.jpg,https://www.banggood.com/Geekcreit®-MEGA-2560-R3-ATmega2560-16AU-MEGA2560-Development-Board-With-USB-Cable-For-Arduino-reviews-p73020.html,US$10.22,$0.41,https://www.banggood.com/Mega2560-R3-ATmega2560-16AU-Control-Board-With-USB-Cable-For-Arduino-p-73020.html?p=05041114859396201710
1133595,"Geekcreit® UNO R3 Basic Starter Learning Kit No Battery Version For Arduino",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/22/0D/e2dfdd57-de00-4fdb-9d78-0b1ca14836fa.jpg,https://www.banggood.com/Geekcreit®-UNO-R3-Basic-Starter-Learning-Kit-No-Battery-Version-For-Arduino-reviews-p1133595.html,US$20.99,$0.84,https://www.banggood.com/Geekcreit-UNO-R3-Basic-Starter-Learning-Kit-No-Battery-Version-For-Arduino-p-1133595.html?p=05041114859396201710
87987,"Geekcreit® 5V 4 Channel Relay Module For Arduino PIC ARM DSP AVR MSP430 Blue",https://img2.banggood.com/thumb/gallery/oaupload/banggood/images/D6/A2/8d98a9c5-e1fa-43bb-9fd1-0e648dafd65b.JPG,https://www.banggood.com/Geekcreit®-5V-4-Channel-Relay-Module-For-Arduino-PIC-ARM-DSP-AVR-MSP430-Blue-reviews-p87987.html,US$2.99,$0.12,https://www.banggood.com/5V-4-Channel-Relay-Module-For-Arduino-PIC-ARM-DSP-AVR-MSP430-Blue-p-87987.html?p=05041114859396201710
917226,"Geekcreit® FT232RL FTDI USB To TTL Serial Converter Adapter Module For Arduino","https://img1.banggood.com/thumb/gallery/upload/2012/lidanpo/SKU116803 (1).jpg",https://www.banggood.com/Geekcreit®-FT232RL-FTDI-USB-To-TTL-Serial-Converter-Adapter-Module-For-Arduino-reviews-p917226.html,US$2.49,$0.1,https://www.banggood.com/FT232RL-FTDI-USB-To-TTL-Serial-Converter-Adapter-Module-For-Arduino-p-917226.html?p=05041114859396201710
1140506,"0.91 Inch 128x32 IIC I2C Blue OLED LCD Display DIY Oled Module SSD1306 Driver IC DC 3.3V 5V For Arduino PIC",https://img3.banggood.com/thumb/gallery/oaupload/banggood/images/8B/FD/19e4b5bf-b35a-476c-af5d-e0c96ff111da.jpg,https://www.banggood.com/0_91-Inch-128x32-IIC-I2C-Blue-OLED-LCD-Display-DIY-Oled-Module-SSD1306-Driver-IC-DC-3_3V-5V-For-Arduino-PIC-reviews-p1140506.html,US$3.99,$0.16,https://www.banggood.com/0_91-Inch-128x32-IIC-I2C-Blue-OLED-LCD-Display-DIY-Oled-Module-SSD1306-Driver-IC-DC-3_3V-5V-p-1140506.html?p=05041114859396201710
